category,Product,Price,Deals
FLOWER,GOODIES - FLOWER - 7G - HYBRID - GUAVA GELATO,$15.00,3
FLOWER,PARADISE - FLOWER - 14G - BIGS - INDICA - WHITE WIDOW,$18.00,3
FLOWER,HOUSE PARTY - FLOWER - 28G - LITTLES - INDICA - COOKIE MONSTER,$39.00,5
FLOWER,HOUSE PARTY - FLOWER - 28G - LITTLES - INDICA - LA KUSH CAKE,$35.00,4
FLOWER,Juiced Colors - 3.5G Biscotti Mints,$10.49,4
FLOWER,CAM | Bruntz (14g),$122.50,4
FLOWER,CAM | Private Reserve Bubba's Girl (3.5g),$40.60,4
FLOWER,HOUSE PARTY - FLOWER - 28G - LITTLES - INDICA - OG KUSH,$45.50,4
FLOWER,King Louis OG (3.5g),$31.50,4
FLOWER,LEMON CHERRY GELATO - BLACK LABEL 3.5G,$19.20,5
FLOWER,Lemon Drop Top (3.5g) - Gold Cuts,$42.00,4
FLOWER,Rainbow Sherbert #11 - Indoor,$28.00,3
FLOWER,WHITE ZERBERT BLACK LABEL 3.5,$19.20,5
FLOWER,BLEM TANGIE TING 3.5g,$47.60,4
FLOWER,Mountain Sage,$45.50,4
FLOWER,Private Reserve OG,$35.70,4
FLOWER,BLEM BOASY 3.5g,$47.60,4
FLOWER,Cereal Milk Premium Cannabis Flower,$45.50,4
FLOWER,Guava Juice - 3.5G Top Shelf Indoor Flower,$38.50,4
FLOWER,Kush Mountains Premium Cannabis Flower,$45.50,4
FLOWER,Trophy OG | 3.5g,$36.40,4
FLOWER,Blue Flame OG,$45.50,4
FLOWER,Traditional - Blue Donut 3.5g,$37.10,4
FLOWER,Traditional - OG 3.5g,$37.10,4
